"country","INC","LE","IR"
"Afghanistan",1637.0,55.0,4.0
"Albania",9374.0,76.0,45.0
"Algeria",12494.0,76.0,12.0
"Andorra",38982.0,84.0,81.0
"Angola",7047.0,60.0,10.0
"Antigua and Barbuda",20567.0,75.0,80.0
"Argentina",15765.0,76.0,40.0
"Australia",41330.0,82.0,76.0
"Austria",42861.0,81.0,75.0
"Azerbaijan",15950.0,72.0,47.0
"Bahamas",22915.0,72.0,43.0
"Bahrain",40553.0,78.0,55.0
"Bangladesh",2459.0,69.0,4.0
"Barbados",15297.0,76.0,70.0
"Belarus",15703.0,70.0,32.0
"Belgium",40764.0,80.0,74.0
"Belize",8209.0,70.0,13.0
"Benin",1637.0,64.0,3.0
"Bhutan",6516.0,69.0,14.0
"Bolivia",5279.0,72.0,22.0
"Bosnia and Herzegovina",9145.0,77.0,52.0
"Botswana",13642.0,66.0,6.0
"Brazil",14660.0,74.0,41.0
"Brunei",70636.0,79.0,53.0
"Bulgaria",14886.0,74.0,46.0
"Burkina Faso",1431.0,61.0,2.0
"Burundi",725.0,59.0,1.0
"Cambodia",2513.0,67.0,1.0
"Cameroon",2571.0,58.0,4.0
"Canada",40773.0,81.0,80.0
"Cape Verde",6005.0,74.0,30.0
"Central African Republic",901.0,52.0,2.0
"Chad",1953.0,56.0,2.0
"Chile",19204.0,79.0,45.0
"China",9430.0,76.0,34.0
"Colombia",10777.0,75.0,36.0
"Comoros",1426.0,63.0,5.0
"Congo, Dem. Rep.",632.0,57.0,1.0
"Congo, Rep.",5533.0,61.0,5.0
"Costa Rica",12322.0,80.0,36.0
"Cote d'Ivoire",2892.0,58.0,2.0
"Croatia",19989.0,78.0,60.0
"Cuba",18477.0,78.0,16.0
"Cyprus",33747.0,82.0,53.0
"Czech Republic",28111.0,78.0,69.0
"Denmark",42997.0,80.0,89.0
"Djibouti",2665.0,62.0,6.0
"Dominica",10375.0,74.0,47.0
"Dominican Republic",11075.0,73.0,31.0
"Ecuador",9311.0,74.0,29.0
"Egypt",10615.0,70.0,30.0
"El Salvador",7237.0,74.0,16.0
"Equatorial Guinea",34431.0,57.0,6.0
"Eritrea",1083.0,61.0,5.0
"Estonia",21710.0,76.0,74.0
"Ethiopia",1081.0,62.0,1.0
"Fiji",7098.0,66.0,20.0
"Finland",39425.0,80.0,87.0
"France",36745.0,81.0,77.0
"Gabon",15982.0,58.0,7.0
"Gambia",1667.0,64.0,9.0
"Georgia",5938.0,73.0,26.0
"Germany",40632.0,80.0,83.0
"Ghana",3091.0,64.0,10.0
"Greece",29190.0,80.0,45.0
"Grenada",11178.0,71.0,33.0
"Guatemala",6849.0,71.0,10.0
"Guinea",1185.0,60.0,1.0
"Guinea-Bissau",1368.0,52.0,2.0
"Guyana",5542.0,64.0,30.0
"Haiti",1518.0,63.0,8.0
"Honduras",4270.0,72.0,11.0
"Hungary",22062.0,75.0,53.0
"Iceland",38809.0,83.0,96.0
"India",4547.0,66.0,8.0
"Indonesia",8498.0,70.0,11.0
"Iran",16980.0,78.0,16.0
"Iraq",12330.0,71.0,2.0
"Ireland",43860.0,80.0,70.0
"Israel",29509.0,82.0,66.0
"Italy",35753.0,82.0,54.0
"Jamaica",8370.0,76.0,28.0
"Japan",34404.0,83.0,78.0
"Jordan",11256.0,78.0,28.0
"Kazakhstan",19601.0,67.0,31.0
"Kenya",2503.0,64.0,14.0
"Kiribati",1729.0,62.0,9.0
"South Korea",30440.0,80.0,82.0
"Kuwait",75365.0,80.0,61.0
"Kyrgyz Republic",2790.0,68.0,18.0
"Lao",3901.0,65.0,7.0
"Latvia",18148.0,75.0,69.0
"Lebanon",16263.0,76.0,44.0
"Lesotho",2235.0,48.0,4.0
"Liberia",689.0,62.0,2.0
"Libya",30261.0,68.0,14.0
"Lithuania",20758.0,74.0,63.0
"Luxembourg",91147.0,81.0,91.0
"Macedonia, FYR",11179.0,76.0,52.0
"Madagascar",1390.0,64.0,2.0
"Malawi",737.0,55.0,2.0
"Malaysia",20398.0,74.0,56.0
"Maldives",11674.0,79.0,28.0
"Mali",1664.0,57.0,2.0
"Malta",27906.0,82.0,63.0
"Mauritania",3299.0,64.0,4.0
"Mauritius",15599.0,73.0,29.0
"Mexico",15460.0,76.0,31.0
"Micronesia, Fed. Sts.",3337.0,66.0,20.0
"Moldova",3925.0,71.0,32.0
"Mongolia",7708.0,64.0,13.0
"Montenegro",13656.0,75.0,38.0
"Morocco",6466.0,74.0,49.0
"Mozambique",930.0,56.0,4.0
"Myanmar",3077.0,66.0,0.0
"Namibia",8433.0,60.0,12.0
"Nepal",1999.0,70.0,8.0
"Netherlands",45843.0,81.0,91.0
"New Zealand",31824.0,81.0,83.0
"Nicaragua",3966.0,76.0,10.0
"Niger",841.0,61.0,1.0
"Nigeria",5114.0,59.0,24.0
"Norway",62946.0,81.0,93.0
"Oman",49188.0,75.0,62.0
"Pakistan",4220.0,65.0,8.0
"Panama",14921.0,77.0,40.0
"Papua New Guinea",2163.0,59.0,1.0
"Paraguay",7008.0,74.0,20.0
"Peru",9915.0,77.0,35.0
"Philippines",5614.0,70.0,25.0
"Poland",21328.0,76.0,62.0
"Portugal",27393.0,80.0,51.0
"Qatar",127984.0,82.0,82.0
"Romania",16888.0,75.0,40.0
"Russia",21664.0,69.0,43.0
"Rwanda",1262.0,64.0,8.0
"St. Lucia",10515.0,74.0,40.0
"St. Vincent and the Grenadines",9935.0,72.0,38.0
"Samoa",5405.0,72.0,7.0
"Sao Tome and Principe",2743.0,68.0,19.0
"Saudi Arabia",45598.0,78.0,41.0
"Senegal",2182.0,65.0,16.0
"Serbia",12301.0,77.0,46.0
"Seychelles",20364.0,73.0,41.0
"Singapore",72056.0,82.0,71.0
"Slovak Republic",24438.0,76.0,76.0
"Slovenia",28377.0,80.0,69.0
"Solomon Islands",1787.0,63.0,5.0
"South Africa",12087.0,58.0,18.0
"Spain",32994.0,82.0,66.0
"Sri Lanka",7572.0,76.0,12.0
"Suriname",14325.0,70.0,32.0
"Swaziland",5862.0,49.0,12.0
"Sweden",42898.0,82.0,90.0
"Switzerland",54183.0,82.0,82.0
"Syria",6603.0,75.0,21.0
"Tajikistan",2110.0,70.0,12.0
"Tanzania",2143.0,61.0,11.0
"Thailand",12822.0,75.0,22.0
"Timor-Leste",1777.0,70.0,0.0
"Togo",1246.0,62.0,3.0
"Tonga",4945.0,70.0,16.0
"Trinidad and Tobago",29321.0,71.0,48.0
"Tunisia",10411.0,77.0,37.0
"Turkey",16674.0,76.0,40.0
"Turkmenistan",10032.0,67.0,3.0
"Uganda",1515.0,59.0,12.0
"Ukraine",7844.0,71.0,23.0
"United Arab Emirates",56644.0,76.0,68.0
"United Kingdom",36240.0,80.0,78.0
"United States",49373.0,79.0,74.0
"Uruguay",17095.0,77.0,47.0
"Uzbekistan",4185.0,69.0,19.0
"Vanuatu",2948.0,64.0,8.0
"Venezuela",16536.0,75.0,38.0
"West Bank and Gaza",4163.0,74.0,43.0
"Vietnam",4486.0,76.0,31.0
"Yemen",4534.0,66.0,12.0
"Zambia",3451.0,55.0,10.0
"Zimbabwe",1484.0,52.0,12.0
